handle_id,barcode,article_name,brand,general_tags,category,component_tags,images,product_url
dori-embroidered-printed-top,10001066,DORI EMBROIDERED PRINTED TOP,Dash and Dot,"Embroidered, Printed, Casual, Floral, Stylish",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Boho",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_82f63f72-8fa3-45cb-b993-ea4300c84546.jpg?v=1764654403,https://shop.broadwaylive.in/products/dori-embroidered-printed-top
musky-oud-100ml-by-proust-fragrances,1.00E+12,Musky Oud 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Fragrance, EDP, Musky, Oud",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 100mL, Fragrance Family: Woody, Aroma: Musky",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400516_59fe86e5-1262-4897-bba8-83596522951c.jpg?v=1763627091,https://shop.broadwaylive.in/products/musky-oud-100ml-by-proust-fragrances
vanilla-velvet-100ml-by-proust-fragrances,1.00E+12,Vanilla Velvet 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Fragrance, EDP, Vanilla, Amber",Beauty & Personal Care,"Sub Category: Perfume, Fragrance Type: EDP, Scent Family: Amber, Main Note: Vanilla, Volume: 100mL",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400510_fd321ef5-0285-4c40-9ca1-511a88b1ab9b.jpg?v=1763627162,https://shop.broadwaylive.in/products/vanilla-velvet-100ml-by-proust-fragrances
amalfi-coast-100ml-by-proust-fragrances,1.00E+12,Amalfi Coast 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Fragrance, EDP, Amalfi Coast, Luxury",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 100mL, Aroma: Floral, Occasion: Daily Wear",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400514.jpg?v=1763622457,https://shop.broadwaylive.in/products/amalfi-coast-100ml-by-proust-fragrances
hennessey-smoke-100ml-by-proust-fragrances,1.00E+12,Hennessey Smoke 100mL by Proust Fragrances,Proust Fragrances,"Perfume, EDP, Fragrance, Unisex, Luxury",Beauty & Personal Care,"Sub Category: Perfume, Size: 100mL, Color: Yellow, Fragrance Type: EDP",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400512_a5a1417c-d84f-435b-8091-4bf90577b259.jpg?v=1763626988,https://shop.broadwaylive.in/products/hennessey-smoke-100ml-by-proust-fragrances
white-oud-in-rose-garden-100ml-by-proust-fragrances,1.00E+12,White Oud in Rose Garden 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Fragrance, Oud, Rose",Beauty & Personal Care,"Sub Category: Perfume, Size: 100mL, Fragrance Type: Eau de Parfum, Main Notes: Oud, Rose, Gender: Unisex",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400911_b869c10b-8715-4b2f-8683-484bcb16d4d8.jpg?v=1763629924,https://shop.broadwaylive.in/products/white-oud-in-rose-garden-100ml-by-proust-fragrances
harvest-under-winter-sun-100ml-by-proust-fragrances,1.00E+12,Harvest Under Winter Sun 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Fragrance, Winter, Fresh",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Color: Clear, Fragrance Family: Aromatic, Volume: 100mL",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400895_29bbe608-0024-4781-96e0-351fbbb1a9fb.jpg?v=1763627323,https://shop.broadwaylive.in/products/harvest-under-winter-sun-100ml-by-proust-fragrances
gris-dust-100ml-by-proust-fragrances,1.00E+12,Gris Dust 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Fragrance, Scent, Luxury",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Color: Transparent, Size: 100mL",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400890_943fe070-ae3b-40de-8d36-1a3445811766.jpg?v=1763627244,https://shop.broadwaylive.in/products/gris-dust-100ml-by-proust-fragrances
billion-air-100ml-by-proust-fragrances,1.00E+12,Billion Air 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Fragrance, Luxury, Scent",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Size: 100mL, Fragrance Type: EDP",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400927_5d7c6785-966c-487d-92f4-7c170bf9a0e9.jpg?v=1763630480,https://shop.broadwaylive.in/products/billion-air-100ml-by-proust-fragrances
berry-bark-100ml-by-proust-fragrances,1.00E+12,Berry & Bark 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Fragrance, Berry, Bark",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Ingredient Focus: Fragrance, Size: 100mL",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400923_9c258654-8e22-43f4-a396-3d8ee2f097f1.jpg?v=1763629999,https://shop.broadwaylive.in/products/berry-bark-100ml-by-proust-fragrances
beyond-amber-100ml-by-proust-fragrances,1.00E+12,Beyond Amber 100mL by Proust Fragrances,Proust Fragrances,"Perfume, Eau de Parfum, Amber, Fragrance, Luxury",Beauty & Personal Care,"Sub Category: Perfume, Texture: Liquid, Ingredient Focus: Amber, Benefits: Long-lasting, Size: 100mL",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/A7400919_92a2507a-181f-496c-8103-673779d47a7f.jpg?v=1763630063,https://shop.broadwaylive.in/products/beyond-amber-100ml-by-proust-fragrances
dori-embroidered-printed-top,10033834,DORI EMBROIDERED PRINTED TOP,Dash and Dot,"Embroidered, Printed, Casual, Floral, Stylish",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Boho",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_5124819a-8fcc-4801-8d9c-ad772a49216e.jpg?v=1764654403,https://shop.broadwaylive.in/products/dori-embroidered-printed-top
dori-embroidered-printed-top,10066602,DORI EMBROIDERED PRINTED TOP,Dash and Dot,"Embroidered, Printed, Casual, Floral, Stylish",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Boho",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/5C.jpg?v=1764654404,https://shop.broadwaylive.in/products/dori-embroidered-printed-top
dori-embroidered-printed-top,10099370,DORI EMBROIDERED PRINTED TOP,Dash and Dot,"Embroidered, Printed, Casual, Floral, Stylish",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Boho",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/6_43af2e58-e321-4f1f-a695-2c92133159cb.jpg?v=1764654403,https://shop.broadwaylive.in/products/dori-embroidered-printed-top
dori-embroidered-printed-top,10132138,DORI EMBROIDERED PRINTED TOP,Dash and Dot,"Embroidered, Printed, Casual, Floral, Stylish",Clothing & Fashion,"Sub Category: Tops, Fit: Regular, Color: Beige, Pattern: Floral, Occasion: Casual, Style: Boho",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/7_b2c43cf3-8efd-4ae2-8740-7d270da7a1e0.jpg?v=1764654403,https://shop.broadwaylive.in/products/dori-embroidered-printed-top
linen-pant,1024426,LINEN PANT,Dash and Dot,"Linen, Pants, Casual, Comfortable, Straight Cut",Clothing & Fashion,"Sub Category: Bottoms, Fit: Regular, Color: Beige, Pattern: Solid, Occasion: Casual, Style: Minimal",https://cdn.shopify.com/s/files/1/0682/4647/0744/files/1_820ee4ef-e8e0-428c-ae5f-736e34c7fbc2.jpg?v=1764574935,https://shop.broadwaylive.in/products/linen-pant
