barcode,config_id,sku_id
SIPL1617-BLUE-M,SIPL1617_BLUE,SIP8956500609
SIPL19027-BLACK-L,SIPL19027_BLACK,SIP1942936881
726684032990,aeon-azure,GMP3302810120
726684033010,aeon-azure,GMP4359731583
726684033041,aeon-azure,GMP3057831735
726684032839,aeon-raven,GMP4698749557
754523810768,aeon-v2-nomad,GMP6789679748
754523810645,aeon-v2-shadowcat,GMP2627307079
754523810652,aeon-v2-shadowcat,GMP8647044736
8909196555306,BW_RAR_AFMAT_BLACK_01,RTP6670326648
8909196555320,BW_RAR_AFMAT_BLACK_01,RTP9189374711
AW24TE08ON-S,BW_FEI_AW24TE08ON_BLACK_01,MF(3618821304
AW24SB29RF-XL,BW_FEI_AW24SB29RF_GREEN_01,MF(3170248912
SIPL1957-WHITE-XL,SIPL1957_WHITE,SIP2444861105
SIPL1703-YELLOW-M,SIPL1703_YELLOW,SIP9758934684
726684039845,alter-rogue,GMP4759071232
726684036967,alter-trickster,GMP9784987653
SIPL1752-WHITE-M,SIPL1752_WHITE,SIP6114858763
SIPL1950-WHITE-S,SIPL1950_WHITE,SIP4884599444
SIPL1950-WHITE-XS,SIPL1950_WHITE,SIP3293931085
SIPL1923-BLACK-M,SIPL1923_BLACK,SIP5894124744
SIPL1922-BLACK-L,SIPL1922_BLACK,SIP4991383336
8801051247558,BLFABJC,HBP3386620458
8904469120359,THARBLST,TAP2772516125
SS-3191,BW_STI_ARIAH_BLUE_01,JMP8481605206
VJAC-ASTARISBORN_XL,VJAC-ASTARISBORN,V2180243602
SIPL1739-RED-M,SIPL1739_RED,SIP4373616777
SIPL20000-GREEN-XS,SIPL20000_GREEN,SIP6600875749
SIPL19032-BLUE-XS,SIPL19032_BLUE,SIP6563564004
8905202268710,BW_CRA_BADATTITUDE_BLACK_01,HOB2449074825
PBWHOM00000023,BW_HOU_BAGGYFITSHIRT_BROWN_01,HOM9295493143
8904469108012,THBA,TAP8928670304
PF500553,Blaze__Blaze,PAP1926487047
PF500592,Clay__Frost,PAP7871716055
PF500593,Clay__Frost,PAP8662324759
8905826411813,BW_BEA_MILAR_GREEN_01,BHC5121402754
VJAC-BECOLHONBUN_XL,VJAC-BECOLHONBUN,V3231758178
8904468834103,CABESUVNETSHREFI,CAP2190184229
SS-50,BW_STI_BELLARAINBOW_BLUE_01,JMP9982839945
SS-53,BW_STI_BELLARAINBOW_BLUE_01,JMP3447709723
VJAC-BITDNTKILMYVIB_S,VJAC-BITDNTKILMYVIB,V2922020247
8904468842795,CABLAECOLE,CAP2266170179
8904468808951,CABLALDAFLTO,CAP5926872502
8904468804724,CABLALINBOLE,CAP7622901405
8904468815676,CABLCHTSH,CAP1288562165
8904468851612,CABLCOOVPRTEWO,CAP5451963729
C224VTC074-M,C224VTC074 _black,RCP2836043863
8904468800153,CABLCRBASPBR,CAP7583594747
8904468800801,CABLDAFLPA,CAP7781725888
8904468810459,CABLDUSHADHO,CAP4351544734
8904468813498,CABLDUTO,CAP8744550614
C224VTC060-L,C224VTC060 _black,RCP8638417181
8904468851933,CABLLOALOVPRTEWO,CAP6550369577
8904468805332,CABLMESPBR,CAP8154507493
8904468811760,CABLOFCA,CAP3634054982
JAC-BLKPANTROLON_L,JAC-BLKPANTROLON,V4315656059
8904468832239,CABLURATA,CAP8791730885
8904468801990,CABLUSKRILE,CAP8280535689
8904468831850,CABLCKSUSTBR,CAP6599215838
8904468803024,CABLTAUSLATO,CAP7427847607
SIPL1834-GREEN-M,SIPL1834_GREEN,SIP8410949543
SIPL1834-GREEN-XXS,SIPL1834_GREEN,SIP1947315859
8904468808999,CABLALDAFLTO,CAP8552968354
NSPJOST-2049-S,BW_MAS_DRAGONFRUITSATI_BLUE_01,BBB6623970597
