config_id,barcode,sku_id
WI2IN1EYANFATR,8906181980006,WEP6581295232
SIPL1731_WHITE,SIPL1731-WHITE-L,SIP6304140966
SIPL1731_WHITE,SIPL1731-WHITE-M,SIP5009971563
SIPL1731_WHITE,SIPL1731-WHITE-S,SIP2683800150
SIPL1731_WHITE,SIPL1731-WHITE-XL,SIP5964394112
SIPL20001_PURPLE,SIPL20001-PURPLE-M,SIP7610913859
SIPL20001_PURPLE,SIPL20001-PURPLE-XS,SIP3371401630
SIPL20001_PURPLE,SIPL20001-PURPLE-XXL,SIP1771249351
SIPL20003_RED,SIPL20003-RED-S,SIP9850226985
52SSP50BGM,613527964030,HCP3822248198
BW_PAS_VASANTCOORD_BROWN_01,PM000122,PML8771119992
BW_PAS_VASANTCOORD_BROWN_01,PM000123,PML6750507042
BW_PAS_VASANTCOORD_BROWN_01,PM000126,PML4131097136
BW_PAS_SCARFWRAP_PLUM_01,PM000071,PML9380675333
BW_PAS_SCARFWRAP_PLUM_01,PM000074,PML3039998409
BW_PAS_SCARFWRAP_PLUM_01,PM000075,PML9754644436
BW_PAS_SCARFWRAP_PLUM_01,PM000076,PML2364357459
ACE OF SPADES_Red,D0007AF/L,PA8601595809
ACE OF SPADES_Red,D0007AF/S,PA1919663464
ACE OF SPADES_Red,D0007AF/XXL,PA3743021702
C224VTC075 _blue-grey,C224VTC075-L,RCP6161129390
C224VTC075 _blue-grey,C224VTC075-S,RCP3191901145
C224VTC075 _blue-grey,C224VTC075-XL,RCP5733072510
SIPL1617_BLUE,SIPL1617-BLUE-S,SIP2108958077
SIPL1617_BLUE,SIPL1617-BLUE-XL,SIP4728306899
SIPL19027_BLACK,SIPL19027-BLACK-M,SIP6474650261
SIPL19027_BLACK,SIPL19027-BLACK-S,SIP9287222612
SIPL19042_WHITE,SIPL19042-WHITE-L,SIP7081270098
SIPL19042_WHITE,SIPL19042-WHITE-M,SIP6017941464
SIPL19042_WHITE,SIPL19042-WHITE-S,SIP9297936322
SIPL19042_WHITE,SIPL19042-WHITE-XL,SIP9428027391
SIPL19042_WHITE,SIPL19042-WHITE-XS,SIP3387732558
esadnireeysugecrsymure15ml_de,887167588509,PC&5388628510
esadniresymureco_75,887167485501,PC&2779042638
aeon-azure,726684033034,GMP5439331046
aeon-azure,726684033058,GMP3386687204
aeon-azure,726684033065,GMP6232819641
aeon-butternut,726684032747,GMP2472018039
aeon-butternut,726684032754,GMP4555272542
aeon-butternut,726684032778,GMP2386027295
aeon-butternut,726684032785,GMP2299530481
aeon-butternut,726684032792,GMP5532361658
aeon-butternut,726684032808,GMP2676774818
aeon-butternut,726684032815,GMP7552115088
aeon-raven,726684032860,GMP2877877309
aeon-raven,726684032877,GMP1901556080
aeon-raven,726684032891,GMP2595177522
aeon-salmon,726684032907,GMP7283507248
aeon-salmon,726684032921,GMP5696577766
aeon-salmon,726684032938,GMP6131906034
aeon-salmon,726684032952,GMP9956459189
aeon-salmon,726684032969,GMP6142474333
aeon-salmon,726684032976,GMP5798328806
aeon-salmon,726684032983,GMP8041020459
aeon-sundrop,726684033188,GMP6118668101
aeon-sundrop,726684033201,GMP2601073867
aeon-sundrop,726684033218,GMP6316715048
aeon-turquoise,726684033089,GMP5134922135
aeon-turquoise,726684033096,GMP6815109543
