name,config_id,barcode
Rareism Women's Nouv Beige Cotton Crew Neck Oversized Fit T-Shirt,BW_RAR_NOUV_BEIGE_01,8909196567521
OSN Iso Gold Whey Protein 5lbs Grass Fed Whey 27g Protein Ice Coffee,ONS_NGFW_ICO5,8906197490612
SuperYou Nutty Chocolate Protein Wafer,SYCHPWB_Choc1,8908024977624
Lador Dermatical Hair-Loss Shampoo (Thin Hair),laladehaloshthha_tr_20,8809181934614
Cropped Tee Baby Pink,C224VTC117 _pink,C224VTC117-M
Rom&nd Glasting Melting Balm – Original Series,ROM_GMB_OGS_Red,8809625246112
Suzanne Wool Jacket,SIPL1803_BLACK,SIPL1803-BLACK-XL
Cropped Tee Baby Pink,C224VTC117 _pink,C224VTC117-L
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-XS
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-S
1sfaith Bloodred Oversize Tee,BW_EST_1SFAITH_01,EST-1sfaith-Bloodred-XL
4EverMore Royalblue Oversize Tee,BW_EST_4EVERMORE_BLUE_01,EST-4evermore-RoyalBlue-XS
Cropped Tee Baby Pink,C224VTC117 _pink,C224VTC117-S
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-M
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-L
Kissed pink Oversize Shirt,BW_EST_KISSED_PINK_01,EST-KissedPink-Pink-XXL
Estaes Sand Oversize Shirt,BW_EST_ESTAES_SAND_01,EST-Estaes-Sand-XXXL
TIRTIR MASK FIT RED MINI CUSHION 23N SAND 4.5g,titimafiremicu23sa45g_de,8809679697502
Nuuk Halo v2 3D Air Circulation Fan with Mood Lamp,nunuhav23daicifawimoli_no,8906176690668
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-XXL
1sfaith Bloodred Oversize Tee,BW_EST_1SFAITH_01,EST-1sfaith-Bloodred-XS
Thank You Farmer Be Beautiful Skin Tint Honey,ththyofabebesktiho,8809454982809
The Transit Luggage - Check-in,MOTHTRCHINLU_SO,8904444506499
The Transit Backpack - 20L,MOTHTRBA20_MO,8904444505584
MARS Creamy Matte Lipstick - Majestic Mambo,mars-creamy-matte-lipstick_07 Majestic Mambo,8904386106641
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-XL
Gully Number 004 - Sebal Black for Women,gugunu00seblfowo,GL4_SEB_BLK_W_38
Ava Cutwork Dress,SIPL19071_WHITE,SIPL19071-WHITE-L
MARS Won't Budge Won't Smudge Lip Crayon,mars-won-t-budge-won-t-smudge-lip-crayon_I am Strong,8904386101233
Sharon Ruffle Skirt,SIPL20080_WINE,SIPL20080-WINE-M
Gully Number 001 - Baaz Leila Navy Men,gugunu00balena,GL1_BAA_LEI_M_41
MARS Creamy Matte Lipstick - Bollywood Surprise,mars-creamy-matte-lipstick_09 Bollywood Surprise,8904386106665
Rom&nd Glasting Melting Balm #Dusty On The Nude,ROM_GMB_DON_Mauve,8809625248239
Prettmama 2.0 Stonewash Oversize Tee,BW_EST_PRETTMAMA_01,EST-Prettmama2.0-StoneWash-XXXL
CaQueen Green Oversize Tee,BW_EST_CAQUEEN_GREEN_01,EST-CaQueen-ForrestGreen-L
PROTOUCH Bliss Callus Remover,PRPRBLCARE,8908019535488
MARS Creamy Matte Lipstick - 01 Kathak Kween,mars-creamy-matte-lipstick_01 Kathak Kween,8904386106580
MARS Creamy Matte Lipstick - Gulabi Garba,mars-creamy-matte-lipstick_18 Gulabi Garba,8904386106757
1sfaith Bloodred Oversize Tee,BW_EST_1SFAITH_01,EST-1sfaith-Bloodred-XXL
Rom&nd Glasting Melting Balm #Dusty On The Nude,ROM_GMB_DON_Pink,8809625248222
Rom&nd Glasting Melting Balm #Dusty On The Nude,ROM_GMB_DON_Nude,8809625248390
MARS Superstay Lipstick,mars-superstay-lipstick_01 Bloom,8904386107464
Elephant Head Wooden Massager Natural Tool for Scalp & Pressure Point (35gm),saelhewomanatofoscprpo3035,8908020986248
MARS Creamy Matte Lipstick - 11 Aerial Awe,mars-creamy-matte-lipstick_11 Aerial Awe,8904386106689
Rom&nd Glasting Melting Balm #Dusty On The Nude,ROM_GMB_DON_Pink,8809625248413
Rom&nd Glasting Melting Balm #Dusty On The Nude,ROM_GMB_DON_Nude,8809625248406
1sfaith Bloodred Oversize Tee,BW_EST_1SFAITH_01,EST-1sfaith-Bloodred-L
Black Love All Oversized Printed Tee - Women,CABLLOALOVPRTEWO,8904468851902
Black Overlap Tee,CABLOVTE,8904468805561
MARS Edge of Desire Lip Liner,mars-edge-of-desire_19 BERRY SPLASH,8904386110938
R3set Healthy Gut Gummies,R3R3WEMAFABUBIANAPSUAPCIVIMAA,8907010009653
PROTOUCH Instant Callus Spray,PRPRCARESP,8908019535495
Black Overlap Tee,CABLOVTE,8904468805547
Black Overlap Tee,CABLOVTE,8904468805554
1sfaith Bloodred Oversize Tee,BW_EST_1SFAITH_01,EST-1sfaith-Bloodred-M
Kantboho 2.0 Multicolour Oversize shirt,BW_EST_KANTBOHO_MULTICOLOUR_01,EST-Kantboho 2.0-Multicolour-L
