id,barcode
7487,8909196567521
2479,8906197490612
59,8908024977624
6584,8809181934614
9206,C224VTC117-M
9464,8809625246112
5376,SIPL1803-BLACK-XL
9207,C224VTC117-L
9579,EST-Prettmama2.0-StoneWash-XS
9580,EST-Prettmama2.0-StoneWash-S
9589,EST-1sfaith-Bloodred-XL
9593,EST-4evermore-RoyalBlue-XS
9208,C224VTC117-S
9581,EST-Prettmama2.0-StoneWash-M
9583,EST-Prettmama2.0-StoneWash-L
9607,EST-KissedPink-Pink-XXL
9627,EST-Estaes-Sand-XXXL
5247,8809679697502
2085,8906176690668
9582,EST-Prettmama2.0-StoneWash-XXL
9586,EST-1sfaith-Bloodred-XS
5369,8809454982809
5094,8904444506499
5077,8904444505584
9386,8904386106641
9584,EST-Prettmama2.0-StoneWash-XL
4402,GL4_SEB_BLK_W_38
4975,SIPL19071-WHITE-L
9224,8904386101233
5003,SIPL20080-WINE-M
4818,GL1_BAA_LEI_M_41
9388,8904386106665
9465,8809625248239
9585,EST-Prettmama2.0-StoneWash-XXXL
9600,EST-CaQueen-ForrestGreen-L
1643,8908019535488
9394,8904386106580
9397,8904386106757
9587,EST-1sfaith-Bloodred-XXL
9466,8809625248222
9468,8809625248390
9235,8904386107464
6777,8908020986248
9401,8904386106689
9467,8809625248413
9469,8809625248406
9588,EST-1sfaith-Bloodred-L
1843,8904468851902
1867,8904468805561
9384,8904386110938
6157,8907010009653
1640,8908019535495
1863,8904468805547
1865,8904468805554
9590,EST-1sfaith-Bloodred-M
9652,EST-Kantboho 2.0-Multicolour-L
9658,EST-CushionCookie-PuffJacket-L
9470,8809625246846
9458,8809625243104
9471,8809625246839
9591,EST-1sfaith-Bloodred-S
9225,8904386101288
9592,EST-1sfaith-Bloodred-XXXL
9226,8904386101325
9459,8809625244040
9461,8809625241100
9594,EST-4evermore-RoyalBlue-M
8527,8901229010066
9596,EST-4evermore-RoyalBlue-L
9460,8809625241704
9595,EST-4evermore-RoyalBlue-S
9472,8904386108362
9480,8904386109697
9429,8904386106443
9441,8904386111270
9486,8904386109857
9212,8904386113403
9273,8904386114479
9597,EST-4evermore-RoyalBlue-XXL
9602,EST-CaQueen-ForrestGreen-XXL
9214,8904386113434
5380,8809454981758
9227,8904386101332
9228,8904386101295
5397,SIPL1831-BLACK-S
9274,8904386108379
9598,EST-4evermore-RoyalBlue-XL
9462,8809625241698
9475,8904386109758
4317,PF500074
9444,8904386100717
9463,8809625241094
9599,EST-4evermore-RoyalBlue-XXXL
2493,8906197490575
5289,SIPL20019-WINE-XL
4974,8904444508691
9229,8904386101264
9488,8904386109826
9490,8904386109802
9491,8904386109772
9601,EST-CaQueen-ForrestGreen-XXXL
9603,EST-CaQueen-ForrestGreen-XL
1545,8909340000164
4281,PF500113
9230,8904386101257
9271,8904386114486
9275,8904386108386
9604,EST-CaQueen-ForrestGreen-M
8747,8904496829676
27,8906205520164
9231,8904386101301
1550,CO003AF/M
9278,8904386109048
9292,8904386109192
9605,EST-CaQueen-ForrestGreen-XS
