barcode,gender,imageUrl,name,brandName,ageGroup,category,subCategory,productType,colorPalette,color,allTags
bdwy_8904389906705,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/pdp-Snooze-4_92945168-e3b7-4939-89dd-847debb5566c.jpg?v=1767956290,Hoodie with Logo Print,N/A,ADULT,Clothing & Fashion,Tops,Hoodies,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Full Sleeve, Graphic, Hoodies, Regular, Solid, Tops, White"
bdwy_8904389906699,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/pdp-Snooze-2_0b614af5-bc6d-4055-ae0a-bd3c70baede1.jpg?v=1767956290,Hoodie with White Logo Print,N/A,ADULT,Clothing & Fashion,Tops,Hoodies,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Full Sleeve, Graphic, Hoodies, Lightweight, Regular, Round Neck, Solid, Tops, White"
bdwy_8904389906682,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/snooze_aaf600c9-dbec-4302-ad80-d47c05be36e0.jpg?v=1767956290,White Logo Print Hoodie,Goldmohur Design & Apparel Park Ltd.,ADULT,Clothing & Fashion,Tops,Hoodies,Bright Spring,White,"Breathable, Casual, Clothing & Fashion, Cotton, Full Sleeve, Hoodies, Loungewear, Regular, Round Neck, Solid, Tops, White"
bdwy_8904389909416,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_0e49a93f-141a-48c1-81a2-528a3d22058f-457194.jpg?v=1767956292,White Placement Print Party Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Collared, Full Sleeve, Party, Print, Regular, Shirts, Solid, Tops, White"
bdwy_8904389909409,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_80d3b183-dd77-4ab5-9f84-0366199596d5-270449.jpg?v=1767956292,White Placement Print Party Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Collared, Full Sleeve, Party, Print, Regular, Shirts, Solid, Tops, White"
bdwy_8904389909393,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/2_16e3ade6-601a-4a8e-b398-ff60e878bd41-155730.jpg?v=1767956293,White Placement Print Party Shirt,Artist Guide To,ADULT,Clothing & Fashion,Tops,Shirts,N/A,White,"Artistic Print, Casual, Clothing & Fashion, Collared, Full Sleeve, Regular, Satin, Shirts, Solid, Tops, White"
bdwy_8904389909386,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/1_841a6fd2-f7f1-429f-8bb4-3230ae0490cf-985356.jpg?v=1767956292,White Placement Print Party Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Collared, Cotton, Full Sleeve, Party, Print, Regular, Shirts, Solid, Tops, White"
bdwy_8904454305686,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04656copy.jpg?v=1767956303,White Printed Linen Cotton Mandarin Collar Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Cotton, Linen, Mandarin Collar, Regular, Shirts, Short Sleeve, Solid, Tops, White"
bdwy_8904454305679,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04645copy.jpg?v=1767956303,White Printed Linen Cotton Mandarin Collar Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Cotton, Linen, Mandarin Collar, Regular, Shirts, Short Sleeve, Solid, Tops, White"
bdwy_8904454305662,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04640copy.jpg?v=1767956303,White Printed Linen Cotton Mandarin Collar Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Cotton, Linen, Mandarin Collar, Regular, Shirts, Short Sleeve, Solid, Tops, White"
bdwy_8904454305655,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC047062.jpg?v=1767956303,White Printed Linen Cotton Mandarin Collar Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Cotton, Full Sleeve, Linen, Mandarin Collar, Regular, Shirts, Solid, Tops, White"
bdwy_8904454305143,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04685copy.jpg?v=1767956303,White Printed Linen Cotton Mandarin Collar Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Cotton, Linen, Mandarin Collar, Regular, Shirts, Short Sleeve, Solid, Tops, White"
bdwy_8904454305365,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04852_a4318069-ac94-406d-9956-c48c8a3794f6.jpg?v=1767956304,White Printed Sleeve Oversized T-Shirt,N/A,ADULT,Clothing & Fashion,Tops,T-Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Graphic, Lightweight, Oversized, Round Neck, Short Sleeve, Tops, T-Shirts, White"
bdwy_8904454305358,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04828_77eecfcd-f17b-4828-8213-66b60703ed7f.jpg?v=1767956304,White Printed Sleeve Oversized T-Shirt,N/A,ADULT,Clothing & Fashion,Tops,T-Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Graphic, Lightweight, Oversized, Round Neck, Short Sleeve, Tops, T-Shirts, White"
bdwy_8904454305341,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04820_41a6b706-c4b9-4834-8ac3-8dff55b2ef65.jpg?v=1767956304,White Printed Sleeve Oversized T-Shirt,N/A,ADULT,Clothing & Fashion,Tops,T-Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Graphic, Lightweight, Oversized, Round Neck, Short Sleeve, Tops, T-Shirts, White"
bdwy_8904454305334,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04800_a4924c5a-25ac-48f3-8b19-6f4ff55af9d3.jpg?v=1767956304,White Printed Sleeve Oversized T-Shirt,N/A,ADULT,Clothing & Fashion,Tops,T-Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Graphic, Lightweight, Oversized, Round Neck, Short Sleeve, Tops, T-Shirts, White"
bdwy_8904454305068,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/DSC04800-Copy_1bd547c8-7344-4af4-9aa7-535bc509f107.jpg?v=1767956304,White Printed Sleeve Oversized T-shirt,N/A,ADULT,Clothing & Fashion,Tops,T-Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Cotton, Lightweight, Oversized, Printed, Regular, Round Neck, Short Sleeve, Solid, Tops, T-Shirts, White"
bdwy_8904389901854,OTHER,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/Signature-RegularFit.jpg?v=1767956312,White Satin Stripes Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Light Summer,White,"Casual, Clothing & Fashion, Collared, Full Sleeve, Lightweight, Regular, Satin, Shirts, Solid, Stripes, Tops, White"
bdwy_8904389901847,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/4_eba04909-0e93-4aff-b934-73fd424bc43f.jpg?v=1767956312,White Satin Stripes Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Collared, Full Sleeve, Lightweight, Regular, Satin, Shirts, Solid, Stripes, Tops, White"
bdwy_8904389901830,MALE,https://cdn.shopify.com/s/files/1/0682/4647/0744/files/3_fe7f86e3-b288-4d0a-a0d7-7cd59642bd14.jpg?v=1767956312,White Satin Stripes Shirt,N/A,ADULT,Clothing & Fashion,Tops,Shirts,Bright Spring,White,"Casual, Clothing & Fashion, Collared, Full Sleeve, Regular, Satin, Shirts, Solid, Stripes, Tops, White"
